REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES
2-SALE,MORSON GROUP,DA62,,,VC,P,,,,,,2SALE,,,
C-FARA,SUMMIT AIR,SC7,SKYVAN,,VC,L,,,SUT,,,,,,
C-GKOA,SUMMIT AIR,SC7,SKYVAN,,VC,L,,,SUT,,,,,,
D-ECXA,BRUTON,XA42,SBACH 342,,VC,P,,,,,,DECXA,,,
FZ692,RAF BBMF,DC3,DAKOTA,,VM,M,,,,,,FZ692,,,
G-AHLT,MARTIN WARING,DH82,TIGERMOTH,,VC,P,,,,,,GAHLT,,,
G-ARAW,SKY BANNER LTD,C182,SKYLANE,,VC,P,,,,,,GARAW,,,
G-ARNJ,RICHARD KEECH,PA22,COLT,,VC,P,,,,,,GARNJ,,,
G-ASSW,JULIET TANGO GROUP,P28A,CHEROKEE,,VC,P,,,,,,GASSW,,,
G-AVMD,LAC FLYING SCHOOL,C150,,,VC,P,,,,,,GAVMD,,,
G-AWPU,WESTAIR FLYING SERVICES,C150,,,VC,P,,,,,,GAWPU,,,
G-AXNZ,DAVID HARVEY,PTS1,PITTS SPECIAL,,VC,P,,,,,,GAXNZ,,,
G-AYEF,CHRISTOPHER HARRIS,P28A,CHEROKEE,,VC,P,,,,,,GAYEF,,,
G-AZBN,GREG CAWLEY,T6,HARVARD,,VM,P,,,,,,HARVARD,,,
G-AZYF,JOHN WILLS,P28A,CHEROKEE,,VC,P,,,,,,GAZYF,,,
G-BAPJ,TERRANCE WHITE,C150,AEROBAT,,BC,P,,,,,,GBAPJ,,,
G-BAXZ,G-BAXZ (87) SYNDICATE,P28A,CHEROKEE,,VC,P,,,,,,GBAXZ,,,
G-BCGO,HIGH G PROPS LTD,PA44,SEMINOLE,,VM,P,,,,,,GBGCO,,,
G-BCKN,MARTIN COWBURN,DHC1,CHIPMUNK,,VM,P,,,,,,GBCKN,,,
G-BCUJ,CALLUM DODDS,C150,,,VC,P,,,,,,GBCUJ,,,
G-BCVJ,ROTHLAND LTD,C172,SKYHAWK,,BC,P,,,,,,GBCVJ,,,
G-BELT,AIR NAVIGATION AND TRADING COMPANY LTD,C150,,,VC,P,,,,,,GBELT,,,
G-BFNI,AIR TRAINING CLUB AVIATION,P28A,CHEROKEE,,VC,P,,,,,,GBFNI,,,
G-BGPJ,WEST LANCS WARRIOR CO. LTD,P28A,CHEROKEE,,BC,P,,,,,,GBGPJ,,,
G-BHZV,G-BHZV GROUP,D11,JODEL,,VM,P,,,,,,GBHZV,,,
G-BJED,DRAKEN EUROPE,BN2T,ISLANDER,,VM,M,,,,,,GBJED,,,
G-BJOT,CARK FLYING GROUP,D11,JODEL,,VC,P,,,,,,GBJOT,,,
G-BJWW,PETER WESTOBY,C172,SKYHAWK,,VC,P,,,,,,GBJWW,,,
G-BJYT,DRAKEN EUROPE,BN2T,ISLANDER,,VM,M,,,,,,GBJYT,,,
G-BLNT,DRAKEN EUROPE,BN2T,ISLANDER,,VM,M,,,,,,GBLNT,,,
G-BLNU,DRAKEN EUROPE,BN2T,ISLANDER,,VM,M,,,,,,GBLNU,,,
G-BMAO,BENJAMIN GILMORE,ZZZZ,TAYLOR MONOPLANE,,VC,P,,,,,,GBMAO,,,
G-BMGC,FLY NAVY HERITAGE TRUST,SWOR,SWORDFISH,,VM,M,,,,,,SWDFSH,,,
G-BNFI,PVT,C150,,,VC,P,,,,,,GBNFI,,,
G-BNOJ,BAE (WARTON) FLYING CLUB,P28A,CHEROKEE,,VC,P,,,,,,GBNOJ,,,
G-BNOP,BAE (WARTON) FLYING CLUB,P28A,CHEROKEE,,VC,P,,,,,,GBNOP,,,
G-BNSR,ERIC WHITEHEAD,RF6,FIREFLY,,VC,P,,,,,,GBNSR,,,
G-BOIY,FLY LLANBEDR,C172,SKYHAWK,,VC,P,,,,,,GBOIY,,,
G-BOLE,MERSEYFLIGHT LTD,PA38,TOMAHAWK,,VC,P,,,,,,GBOLE,,,
G-BONO,PAUL BULLEN,C172,SKYHAWK,,VC,P,,,,,,GBONO,,,
G-BONW,MCCLEAN,C152,,,VC,P,,,,,,GBONW,,,
G-BORL,WESTAIR FLYING SERVICES,P28A,CHEROKEE WARRIOR II,,VC,P,,,,,,GBORL,,,
G-BOYV,PAUL LODGE,P28S,TURBO ARROW,,VC,P,,,,,,GBOYV,,,
G-BPBJ,BRINKLEY AVIATION LTD,C152,,,VC,P,,,,,,GBPBJ,,,
G-BPGZ,JOHN SCOTT,C150,,,VC,P,,,,,,GBPGZ,,,
G-BPRJ,PDG HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,P,,,,,,PDG61,,,
G-BPVA,SOUTH LANCASHIRE FLYERS,C172,SKYHAWK,,VC,P,,,,,,GBPVA,,,
G-BPYR,2 EXCEL AVIATION LTD,PA31,NAVAJO,,VC,P,,,BRO,,,BRO,,,
G-BRBW,AIR NAVIGATION AND TRADING COMPANY LTD,P28A,CHEROKEE,,VC,P,,,,,,GBRBW,,,
G-BRPC,DRAKEN EUROPE,BN2T,ISLANDER,,VM,M,,,,,,GBRPC,,,
G-BSKW,AIR NAVIGATION AND TRADING COMPANY LTD,P28A,CHEROKEE,,VC,P,,,,,,GBSKW,,,
G-BSWR,POLICE SERVICE OF NORTHERN IRELAND,BN2T,ISLANDER,,VC,L,,,UKP,,,SCOUT1,,,
G-BTAM,ASHLEY GARDNER,P28A,CHEROKEE,,VC,P,,,,,,GBTAM,,,
G-BTFO,FLYFAR LTD,P28A,CHEROKEE,,BC,P,,,,,,GBTFO,,,
G-BUOS,PROPSHOP LTD,SPIT,SPITFIRE,,VC,P,,,,,,GBUOS,,,
G-BVUN,MATTHEW PETTIT,RV4,,,VC,P,,,,,,GBVUN,,,
G-BWHI,EDWARD CLARE,DHC1,CHIPMUNK,,VM,P,,,,,,GBWHI,,,
G-BXIA,CHRISTOPHER LIGHTFOOT,DHC1,CHIPMUNK,,VC,P,,,,,,GBXIA,,,
G-BYUB,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUC,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUD,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUE,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUF,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUH,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUI,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAM,,,,,,
G-BYUJ,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUK,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAM,,,,,,
G-BYUL,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAM,,,,,,
G-BYUM,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUN,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUO,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUR,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUS,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUU,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUV,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUW,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUX,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUY,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYUZ,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVA,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVB,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVC,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVD,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVE,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVF,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVG,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,WIT,,,,,,
G-BYVH,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVI,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAM,,,,,,
G-BYVK,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVL,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAY,,,,,,
G-BYVM,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAT,,,,,,
G-BYVO,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAM,,,,,,
